uf,mes,ano,vitimas
SP,6,2020,8
TO,6,2020,1
AL,7,2020,2
AM,7,2020,1
AP,7,2020,2
BA,7,2020,9
CE,7,2020,2
DF,7,2020,3
ES,7,2020,2
GO,7,2020,3
MA,7,2020,6
MG,7,2020,16
MS,7,2020,2
MT,7,2020,2
PA,7,2020,9
PB,7,2020,2
PE,7,2020,6
PI,7,2020,4
PR,7,2020,3
RJ,7,2020,8
RN,7,2020,1
RR,7,2020,1
RS,7,2020,2
SC,7,2020,7
SP,7,2020,13
AL,8,2020,5
AM,8,2020,5
CE,8,2020,2
DF,8,2020,1
ES,8,2020,1
GO,8,2020,5
MA,8,2020,9
MG,8,2020,15
MS,8,2020,3
MT,8,2020,6
PA,8,2020,9
PB,8,2020,2
PE,8,2020,5
PI,8,2020,4
PR,8,2020,6
RJ,8,2020,4
RR,8,2020,1
RS,8,2020,4
SC,8,2020,2
SE,8,2020,1
SP,8,2020,8
AC,9,2020,2
AL,9,2020,4
AM,9,2020,2
BA,9,2020,9
CE,9,2020,3
DF,9,2020,1
ES,9,2020,1
GO,9,2020,3
MA,9,2020,8
MG,9,2020,9
MS,9,2020,4
MT,9,2020,4
PA,9,2020,4
PB,9,2020,5
PE,9,2020,9
PI,9,2020,2
PR,9,2020,7
RJ,9,2020,6
RO,9,2020,2
RR,9,2020,3
RS,9,2020,5
SC,9,2020,6
SP,9,2020,17
TO,9,2020,1
AL,10,2020,4
AM,10,2020,1
BA,10,2020,15
CE,10,2020,3
ES,10,2020,3
GO,10,2020,4
MA,10,2020,2
MG,10,2020,15
MS,10,2020,2
MT,10,2020,2
PA,10,2020,2
PB,10,2020,2
PE,10,2020,6
PI,10,2020,3
PR,10,2020,6
RJ,10,2020,3
RO,10,2020,1
RS,10,2020,6
SC,10,2020,4
SP,10,2020,14
TO,10,2020,2
AC,11,2020,1
AL,11,2020,2
AM,11,2020,1
BA,11,2020,10
CE,11,2020,1
ES,11,2020,2
GO,11,2020,5
MA,11,2020,7
MG,11,2020,13
MS,11,2020,4
MT,11,2020,8
PA,11,2020,3
PB,11,2020,1
PE,11,2020,6
PI,11,2020,4
PR,11,2020,8
RJ,11,2020,11
RN,11,2020,1
RO,11,2020,2
RS,11,2020,6
SC,11,2020,8
SE,11,2020,3
SP,11,2020,20
AL,12,2020,3
AP,12,2020,1
BA,12,2020,12
CE,12,2020,2
DF,12,2020,4
ES,12,2020,3
GO,12,2020,3
MA,12,2020,4
MG,12,2020,16
MS,12,2020,6
MT,12,2020,6
PA,12,2020,5
PB,12,2020,6
PE,12,2020,9
PI,12,2020,3
PR,12,2020,4
RJ,12,2020,10
RN,12,2020,1
RO,12,2020,1
RR,12,2020,2
RS,12,2020,6
SC,12,2020,6
SE,12,2020,1
SP,12,2020,19
AL,1,2021,1
AM,1,2021,1
BA,1,2021,15
CE,1,2021,2
DF,1,2021,3
ES,1,2021,2
GO,1,2021,6
MA,1,2021,10
MG,1,2021,13
MS,1,2021,2
MT,1,2021,3
PA,1,2021,14
PB,1,2021,2
PE,1,2021,10
PI,1,2021,1
PR,1,2021,8
RJ,1,2021,9
RN,1,2021,2
RO,1,2021,2
RR,1,2021,1
RS,1,2021,11
SC,1,2021,2
SP,1,2021,11
TO,1,2021,3
AC,2,2021,1
AL,2,2021,1
AM,2,2021,4
BA,2,2021,5
CE,2,2021,2
DF,2,2021,1
ES,2,2021,3
GO,2,2021,1
MA,2,2021,3
MG,2,2021,10
MS,2,2021,4
MT,2,2021,2
PA,2,2021,3
PB,2,2021,1
PE,2,2021,11
PI,2,2021,3
PR,2,2021,6
RJ,2,2021,5
RS,2,2021,6
SC,2,2021,2
SE,2,2021,3
SP,2,2021,11
TO,2,2021,1
AC,3,2021,2
AL,3,2021,5
BA,3,2021,4
CE,3,2021,1
DF,3,2021,1
ES,3,2021,3
GO,3,2021,10
MA,3,2021,3
MG,3,2021,13
MS,3,2021,1
MT,3,2021,6
PA,3,2021,5
PB,3,2021,3
PE,3,2021,7
PR,3,2021,7
RJ,3,2021,10
RN,3,2021,1
RS,3,2021,3
SC,3,2021,5
SE,3,2021,1
